9213282 | Pantoea alhagi | salt | rice | The EPS-producing endophyte Pantoea alhagi NX-11 mediates salt stress-induced damage in rice by upregulating the proline biosynthesis genes pyrroline-5-carboxylate synthase OsP5CS and pyrroline-5-carboxylate reductase OsP5CR, and downregulating the proline catabolism gene pyrroline-5-carboxylate dehydrogenase OsP5CDh. | YES
9428627 | Bacillus | drought | Solanum lycopersicum | However, different Bacillus strains increased proline secretion in drought conditions in Solanum lycopersicum  reference, Cicer arietinum  reference, Sorghum bicolor  reference, and Cucumis sativus  reference. | YES
8082249 | Trichoderma asperellum | drought-stressed | Sugarcane | Enzymatic Activity and Proline Concentration in Leaves         Sugarcane plants inoculated with Trichoderma asperellum increased p &lt; 0.01 the NR activity in both non-stressed and drought-stressed plants by 91 and 114%, respectively, and drought stress most negatively affected the NR activity in non-inoculated plants 47% than in inoculated one 40%  reference and  reference. | YES
8072474 | Burkholderia phytofirmans | low temperature | grapevine | Inoculation of Burkholderia phytofirmans increased grapevine growth and starch, proline, and phenolic contents at a low temperature  reference. | YES
8066330 | Ochrobactrum | drought stress | wheat | In addition, wheat plants inoculated with either strain Bacillus safensis W10 or Ochrobactrum pseudogregnonense IP8 exhibited an increase of proline concentration in their leaves and their RWC under drought stress conditions  reference. | YES
9205400 | Neocamarosporium | salinity | tomato | While our previous reports show that Neocamarosporium species increase the proline content of cucumber and tomato plants only in higher levels of salinity and drought stress  reference, here we observe that two halotolerant endophytic fungal species, N. goegapense, and N. chichastianum, improved the proline content of leaf under all levels of salinity and drought stress. | YES
9205400 | Periconia macrospinosa | drought stress | barley | Conclusion       In the present study, three halotolerant endophytic fungal species, Periconia macrospinosa, N. goegapense, and N. chichastianum, increased several physiological and biochemical markers, including plant growth parameters, chlorophyll concentrations, antioxidant enzymes activity, and proline content in barley plants exposed to salinity and drought stress. | YES
9713481 | Kocuria rhizophila | salt stress | maize | The PGPR strain Kocuria rhizophila Y1 also increased soluble sugar and proline content in maize under salt stress  reference. | YES
10027718 | Bacillus | osmotic stress | pepper | Meanwhile, Bacillus could promote proline biosynthesis in pepper plants under osmotic stress  reference. | YES
7380250 | Enterobacter | salt stress | Arabidopsis | Furthermore, after inoculation with Enterobacter, the expression of salt stress response genes related to proline biosynthesis in Arabidopsis was upregulated  reference. | YES
8759379 | Pseudomonas | cold stress | wheat | One study has shown that inoculation with Pseudomonas strains significantly enhances root/shoot biomass, relative water content, chlorophyll, anthocyanin, proline, proteins, and amino acids, which are adaptations to cold stress in wheat  reference. | YES
