7917748 | Pseudomonas | drought | maize | -REF-.Pseudomonas induces drought tolerance in mung bean  -REF- and salt tolerance in cotton plants  -REF-.Bacillus improves drought stress tolerance in maize, promoting better oxidative and water balance  -REF-. | NO
10145286 | Aspergillus aculeatus | salinity stress | Medicago truncatula | A growth-promoting fungus, Aspergillus aculeatus, increases salt-stress tolerance, metabolite activities, and fodder quality in perennial ryegrass  -REF-, while Trichoderma harzianum reduces salt stress in cucumber  -REF-, and Peyssonnelia indica reduces salinity stress in Medicago truncatula  -REF-. | NO
10986097 | Nostoc muscorum | salinity | Chlorella vulgaris | Biostimulants, especially those sourced from algal origins, reinforce plant robustness against abiotic challenges such as salinity  -REF- and drought  -REF- by Nostoc muscorum and Chlorella vulgaris extracts  -REF-,  -REF- while Spirulina platensis act as plant biostimulants due to its rich nutrient profile and stress-mitigating properties  -REF-,  -REF-. | NO
11176432 | Azospirillum | salt | rice | For example, inoculation with Azospirillum and Azotobacter species significantly promoted growth and enhanced salt tolerance of cherry tomato under different salinity levels  -REF-, and the addition of Enterobacter cancerogenus JY65 promoted the growth of rice under NaCl stress with significantly increased plant biomass, plant height, and root length  -REF-. | NO
9866067 | Burkholderia phytofirmans | cold | Arabidopsis | Another example is the bacterium Burkholderia phytofirmans that makes the host plant resilient to multiple stressors, such as improving tolerance to cold in grapevine, heat in tomato, drought in wheat, and salt and freezing in Arabidopsis  -REF-, -REF-. | NO
8001772 | Bacillus amyloliquefaciens | salinity | tomato | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought  -REF-, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato  -REF-, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable  -REF-. | NO
7917748 | Pseudomonas | salt | mung bean | -REF-.Pseudomonas induces drought tolerance in mung bean  -REF- and salt tolerance in cotton plants  -REF-.Bacillus improves drought stress tolerance in maize, promoting better oxidative and water balance  -REF-. | NO
9658302 | Streptomyces coelicolor | salt | rice | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain  -REF-       PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions  -REF-. | NO
9658302 | Streptomyces olivaceus | salt | rice | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain  -REF-       PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions  -REF-. | NO
9658302 | Streptomyces olivaceus | salt | wheat | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain  -REF-       PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions  -REF-. | NO
9658302 | Streptomyces geysiriensis | salt | wheat | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain  -REF-       PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions  -REF-. | NO
