6930159 | Pseudomonas | salinity | Arthrocnemum | The diazotrophic salt-tolerant bacterial strains of Klebsiella, Agrobacterium, Pseudomonas, and Ochrobactrum isolated from the roots of a halophytic plant, Arthrocnemum indicum showed salinity tolerance ranging from 4 to 8% NaCl, and improved the productivity of peanut in saline as well as in control conditions -REF-. | NO
7411952 | Penicillium chrysogenum | Salt | Tomato | Screening of Penicillium chrysogenum for Tomato Salt Tolerance Tomato plants colonized by the Penicillium chrysogenum endophyte were isolated from box elder Acer negundo CC2 growing in Clarke County under salt stress of 568 PPT TDS -REF-. | NO
10578444 | Phytophthora sojae | salt | soybean | Responsiveness to various abiotic stresses like cold, drought and salt, as well as biotic stress like infection with the fungal pathogen Phytophthora sojae has been demonstrated by GLRs in soybean -REF-. | NO
8869415 | Dermacoccus abyssi | salt | tomato | For physiological parameters, relative water content % RWC value of Dermacoccus abyssi MT1.1T inoculated tomato was not significantly different compared to non-inoculated tomato with salt stress -REF-E. | NO
9706007 | cellulosilyticum | drought | Bambara groundnut | Different Rhizobium species such as R. strain R1, Rhizobium tropici R2, R. cellulosilyticum R3, Rhizobium taibaishanense R4, and Ensifer meliloti R5 strains that were isolated from the rhizosphere of Bambara groundnut plants to enhanced seed germination of soybean PAN 1532 R plants when exposed to drought. | NO
11121501 | Streptomyces scabies | drought | Solanum tuberosum | It has been reported that drought conditions in England and Wales have resulted in higher incidences of common scab caused by Streptomyces scabies in Solanum tuberosum potato -REF-. | NO
9828629 | Aspergillus aculeatus | drought | Cynodon dactylon | To give just a few examples, severe drought stress significantly reduced the Serendipita indica‐mediated root growth promotion on Zea mays plants Zhang et al., -REF-, while high salt conditions minimized the root growth promoting effect of Aspergillus aculeatus endophytes on Cynodon dactylon plants Xie et al., -REF-. | NO
8228783 | Phytophthora | salt | potato | Now, this study rings ‘alarm bells’ for potato as Phytophthora is a detrimental pathogen, which is already a global threat in potato production and salt stress, in combination, may create havoc in the potato production system. | NO
8163885 | Actinobacteria | drought | maize | c The ratio of the relative abundance for Actinobacteria in tom1 vs. wild-type maize under control left bar and drought right bar conditions. | NO
6780275 | Bacillus velezensis FZB42 | cold | wheat | RJGP41 and CJCL2 isolated from the Qinghai-Tibet Plateau and a well reported biocontrol and plant growth promoting strain Bacillus velezensis FZB42 -REF- to evaluate their potential to alleviate cold stress in wheat. | NO
11359853 | Funneliformis verruculosum | drought | tomato | Discussion In our previous work, by comparing the effects of seven mycorrhizal species Rhizophagus irregularis, Funneliformis mosseae, Funneliformis geosporum, Funneliformis verruculosum, Funneliformis coronatum, Septoglomus deserticola, Septoglomus constrictum, we found that Septoglomus constrictum effectively enhanced tomato tolerance to drought and heat stress -REF-. | NO
9152913 | actinobacteria | salt | soybean | To our best of knowledge, most PGPR were investigated under salt NaCl stress, and few actinobacteria were studied its potential to prime the alkaline or saline-alkali tolerance of soybean in soda alkaline soils. | NO
10516563 | Cellulomonas | salt | wild rice | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
10516563 | Staphylococcus | salt | rice | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
7550623 | Pseudomonas chlororaphis 30-84 | salinity | wheat | In the present study, the specific role of phenazine production by rhizosphere-colonizing Pseudomonas in mediating the inhibitory effects of salinity on wheat seed germination and seedling growth in four different varieties was investigated using Pseudomonas chlororaphis 30-84 wild type and isogenic derivatives deficient or enhanced in phenazine production. | NO
9142908 | Glomus | salinity | maize | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
7238037 | Ralstonia solanacearum | salinity | barley | HvRAF, a novel AP2/ERF TF in barley, had dual regulatory functions under biotic Ralstonia solanacearum and abiotic salinity stresses -REF-. | NO
