11233480 | Foveavirus | water stress | grapevine | For example, Foveavirus RNA virus Grapevine rupestris stem pitting associated virus GRSPaV infected grapevine had altered profile of miRNA involved in water stress compared to virus free plants Pantaleo et al. | NO
7358356 | Dietzia natronolimnaea | salt | wheat | In another study, it was found that inoculation of Dietzia natronolimnaea STR modulated the transcriptional machinery responsible for salinity tolerance in wheat plants, such as salt overly sensitive SOS pathway-related genes SOS1 and SOS4. | NO
9581713 | Pseudomonas | water deficit | maize | In the present study, Pseudomonas under drought and control both condition and Pantoea inoculations well water condition increased leaf fresh biomass and other growth parameters which was reported earlier in maize under water deficit condition  -REF-. | NO
10255858 | Rhodomonas | salt | Rhodomonas irregularis | Furthermore, plants inoculated with Rhodomonas irregularis and subjected to salt stress showed a higher level of this metabolite than the non-inoculated ones. | NO
9121094 | Rhizobacteria | salt | Maize | Effect of Plant Growth-Promoting Rhizobacteria Inoculation on Maize Tolerance to NaCl Stress         Salt stress inhibited plant growth due to the increase in Na+ concentration and the decrease in the K+/Na+ ratio. | NO
8217874 | Bacillus subtilis | salt | Arabidopsis thaliana | Bacillus subtilis pk5-26 can grow under severe salt stress and has a remarkable growth-promoting effect on Arabidopsis thaliana, as it is capable of dissolving phosphorus and secreting siderophores  -REF-. | NO
7688926 | Bacillus amyloliquefaciens | salt | maize | Moreover, inoculating the rhizosphere with Bacillus amyloliquefaciens alleviated salt stress and allowed plants such as Arabidopsis Col-0, maize Jingtian, and rice Oryza sativa Lindenbergia indica var. | NO
7688926 | Bacillus amyloliquefaciens | salt | Lindenbergia indica | Moreover, inoculating the rhizosphere with Bacillus amyloliquefaciens alleviated salt stress and allowed plants such as Arabidopsis Col-0, maize Jingtian, and rice Oryza sativa Lindenbergia indica var. | NO
7688926 | Bacillus amyloliquefaciens | salt | rice | Moreover, inoculating the rhizosphere with Bacillus amyloliquefaciens alleviated salt stress and allowed plants such as Arabidopsis Col-0, maize Jingtian, and rice Oryza sativa Lindenbergia indica var. | NO
11036750 | Azospirillum brasilense | drought | wheat | Discussion       Drought stress is a main abiotic stress that can reduction in wheat crop yield especially in under developing countries, Use of biochar, trans-zeatin riboside t-ZR and Azospirillum brasilense in crop production is very helpful to get sustainable wheat crop yield under such kind of the conditions. | NO
11379202 | Serratia plymuthica A30 | cold | potato | Endophytic bacterium Serratia plymuthica A30 was identified as a superior biocontrol agent due to its effective colonization of potato tuber, tolerance to cold conditions, and strong inhibitory action against various soft rot pathogens, including Dickeya solani. | NO
11379202 | Serratia plymuthica | cold | potato | Endophytic bacterium Serratia plymuthica A30 was identified as a superior biocontrol agent due to its effective colonization of potato tuber, tolerance to cold conditions, and strong inhibitory action against various soft rot pathogens, including Dickeya solani. | NO
7564600 | Firmicutes | desiccation | rice | This could be in part due to the aerobic and drought adaptation characteristics of the upland rice roots; the environment may favor the growth and function of multiple monoderm or gram positive anaerobic bacteria, for instance, those of the Firmicutes phylum, which are more tolerant to desiccation than are diderms, due to the thicker cell walls of the former and the ability of some monoderms to sporulate  -REF-, -REF-. | NO
10326438 | Pseudomonas | drought | Chinese cabbage | Analytical approaches allowed to accurately detect different bioactive gibberellins in Pseudomonas strains that were able to promote the growth of soybean, Arabis thaliana, lettuce, and Chinese cabbage, in some cases under high salinity and drought conditions  -REF-,  -REF-;  -REF-;  -REF-. | NO
10326438 | Pseudomonas | drought | soybean | Analytical approaches allowed to accurately detect different bioactive gibberellins in Pseudomonas strains that were able to promote the growth of soybean, Arabis thaliana, lettuce, and Chinese cabbage, in some cases under high salinity and drought conditions  -REF-,  -REF-;  -REF-;  -REF-. | NO
10453936 | Bacillus | drought | grapes | developed SynCom using Bacillus, Acinetobacter, Sphingobacterium, Delftia and Enterobacter for grapes, which not only protect plants during drought, but promote growth and yield  -REF-. | NO
8398416 | Staphylococcus | drought | Ananas comosus | and Staphylococcus spp., isolated from Ananas comosus, enhanced drought tolerance, and promoted growth as well as pathogen resistance. | NO
10366173 | Magnaporthe oryzae | thermotolerance | rice | oryzae Xoo and fungal Magnaporthe oryzae Microbacterium oryzae, but positively modulates thermotolerance in rice. | NO
8891170 | Aspergillus terreus | salinity | Zea mays | Same letters denoted on bar graphs show non-significant differences p &lt; 0.05 within a treatment Capital letters for Aspergillus terreus, small letters without Aspergillus terreus, only salinity, * denotes significant differences, and ns denotes non-significant among the treatments with and without P.                    FIGURE 2                        Effect of Aspergillus terreus seed treatments on relative water content and biomass accumulation of maize Zea mays L. var. | NO
10326438 | Pseudomonas | osmotic stress | chickpea | However, another Pseudomonas strain, Pseudomonas guariconensis MTCC5279 formerly called Pseudomonas putida MTCC5279, was shown to affect the regulation of antioxidant enzyme genes in chickpea during and following osmotic stress  -REF-. | NO
7917748 | Rhizobium | salt | Medicago | Symbiosis with Rhizobium is reported to influence salt and drought responses in Medicago trunculata  -REF-.Trichoderma is described by Zaidi et al. | NO
10785826 | Azospirillum brasilense | salt | rice | Next, we identified three defense-related genes a stress-induced protein LOC_Os01g53790, a pathogenesis-related PR gene LOC_Os04g50700, and a cinnamoyl-CoA-reductase gene LOC_Os08g34280 downregulated in expression in Azospirillum brasilense-treated rice but not differentially expressed in either salt treatment salt only and salt + Azospirillum brasilense. | NO
10326438 | Pseudomonas putida | osmotic stress | chickpea | However, another Pseudomonas strain, Pseudomonas guariconensis MTCC5279 formerly called Pseudomonas putida MTCC5279, was shown to affect the regulation of antioxidant enzyme genes in chickpea during and following osmotic stress  -REF-. | NO
7192560 | SA1 | heat | tomato | Similar SlHsfA1a transcriptional levels were observed in sole SA1, HA and combined SA1+HA application in tomato plants under heat stress  -REF-. | NO
