8760038 | Paenibacillus polymyxa CR1 | Desiccation | Arabidopsis | According to the study of -REF-, inoculation of Arabidopsis and soybean with Paenibacillus polymyxa CR1 induced the expression of the drought-responsive genes Response to Desiccation 29A RD29A and Response to Desiccation 29B RD29B and improved drought resistance. | YES
10381829 | Trichoderma longibrachiatum | drought | Pinus massoniana | The present results are consistent with these findings, and thus it was speculated that Trichoderma longibrachiatum might effectively enhance drought tolerance by regulating root development and stimulating nutrient metabolism in Pinus massoniana. | YES
11048422 | Microbacterium azadirachtae | salt-stressed | maize | Overall, this study demonstrates that Microbacterium azadirachtae CNUC13 significantly enhances the growth of salt-stressed maize seedlings by improving photosynthetic efficiency, osmotic regulators, oxidative stress resilience, and antioxidant enzyme activity. | YES
7688926 | Bacillus amyloliquefaciens | salt | Arabidopsis | According to our results and those obtained previously, the colonization of Arabidopsis roots by the beneficial rhizobacterial strain Bacillus amyloliquefaciens FZB42 as well as the volatile emissions from this PGPR induce the expression of JA-responsive genes, thereby leading to induced systemic tolerance and effective protection from salt stress -REF-. | YES
9634556 | Paraburkholderia phytofirmans | heat | potato | Paraburkholderia phytofirmans strain PsJN which expresses ACC deaminase activity to alleviate and induce tolerance toward heat stress, has been reported in tomato -REF- and potato -REF-. | YES
9495777 | Azospirillum brasilense | drought | Arabidopsis | Similarly, Arabidopsis plants inoculated with ABA producing Azospirillum brasilense improved the relative leaf water content, thereby ameliorating growth response under drought stress -REF-, which confirmed the ability of phytohormone producing PGPR strains to enhance plant growth under drought stress conditions. | YES
9495777 | Streptomyces pactum | drought | Triticum aestivum | -REF- have revealed that Streptomyces pactum increased the leaf ABA content and upregulated the drought stress resistance gene expression such as EXPA2, EXPA6, P5CS, and SnRK2, thereby reducing the effects of drought stress in Triticum aestivum plants. | YES
9121094 | Bacillus atrophaeus | salt | maize | In the pot experiment, we also found that the strains Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 had a certain alleviating effect on the growth of maize under salt stress. | YES
8001772 | Bacillus amyloliquefaciens | drought | rice | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought -REF-, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato -REF-, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable -REF-. | YES
9415082 | Pseudomonas | drought-stressed | tomato | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
7917748 | Azospirillum | salt | chickpea | -REF- as a possible way to increase tolerance against abiotic stress.Azospirillum can improve salt tolerance in chickpea, increasing the biosynthesis of compatible osmolytes and enhancing the antioxidant machinery -REF-. | YES
11233480 | Begomovirus | drought | Nicotiana benthamiana | Moreover, C4 protein of Begomovirus Tomato yellow leaf curl virus TYLCV also has been shown to provide tolerance to drought in tomato and Nicotiana benthamiana Corrales-Gutierrez et al. | YES
9415082 | Azospirillum brasilense | drought | tomato | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
10308577 | Pseudomonas azotoformans | saline stress | Brassica juncea | -REF- For example, Pseudomonas azotoformans and Pseudomonas argentinensis are reported to reduce the saline stress in the Brassica juncea, improve yields, and could be used as a good biofertilizer. | YES
9712829 | Trichoderma asperelloides | salt | Arabidopsis | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
8869415 | Dermacoccus barathri | salt | tomato | from two saline sites in the northeast region of Algeria promoted the growth of wheat under 0.25 to 1 M NaCl -REF-; and Dermacoccus barathri MT2.1T and Desulfosoma profundi MT2.2T from deep-sea sediments mitigated salt stress in tomato seedlings under 150 mM NaCl -REF-. | YES
