9995459 | Stenotrophomonas | drought | alfalfa | Our results indicate that under adequate watering conditions, the drought-tolerant alfalfa variety AH already had abundant communities of drought-resistant bacteria, such as Ensifer  -REF-, Massilia, and Stenotrophomonas  -REF- in the rhizosphere, and that these bacteria began to increase only when the drought-sensitive variety QS was subjected to drought  -REF-, -REF-. | NO
8184954 | Actinobacteria | drought | wheat | The enrichment of Actinobacteria in the microbiomes of wheat and other crop species has been consistently observed in multiple drought studies -REF-, -REF-, -REF-, -REF-, -REF-. | NO
8184954 | Actinobacteria | drought | agave | Studies of microbiomes under drought conditions have highlighted the enrichment of Actinobacteria by 3.1-fold in wheat as well as a significant increase in agave -REF-, -REF-. | NO
8184954 | Actinobacteria | drought | wheat | While increases in the abundance of Actinobacteria has been extensively reported in root microbiomes under drought stress, as far as these authors are aware, this is the first time this trend has been observed in the wheat seed microbiome. | NO
8225083 | Pantoea | drought | wheat | Interestingly, colonization of EPS-producing Pantoea aglomerans NAS206 appears to increase at the rhizoplane and in root-adhering soil RAS but not in bulk soil and under relatively dry conditions in wheat plants  -REF-, indicating the importance of EPS in root colonization and drought stress. | NO
6987256 | Pantoea alhagi | salt | rice | Similarly, we found that Pantoea alhagi NX-11 could effectively adhere to the roots of rice seedlings under high salt conditions, whereas NX-11eps– was much less successful in doing so  -REF-, indicating that the lack of EPSs reduced the ability of these bacteria to adsorb to the roots of plants. | NO
10381829 | Trichoderma | drought | Pinus massoniana | Soil nutrient contents, activities of sucrase, phosphatase, and urease as well as the relative abundances of the dominant genera Burkholderia, Rhodanobacter, and Trichoderma were elevated in the rhizosphere soil of Pinus massoniana inoculated with Trichoderma longibrachiatum under drought stress. | NO
10766110 | Pseudomonas | salinity stress | alfalfa | It is suggested that salt-tolerant alfalfa varieties can provide more carbon sources to the rhizosphere, enriching more effective plant growth-promoting bacteria PGPB such as Pseudomonas to mitigate salinity stress. | NO
9995459 | Novosphingobium | drought | alfalfa | Our study found that despite the differences between plant varieties and their bacterial taxa, for drought-tolerant or drought-sensitive alfalfa, both Pseudomonas and Novosphingobium were enriched in AH and QS under drought stress  -REF-. | NO
10381829 | Trichoderma longibrachiatum | drought | Pinus massoniana | However, they did emerge under CK/+T, LD/+T, and SD/+T treatments, indicating Trichoderma longibrachiatum could successfully colonize the roots of Pinus massoniana seedlings after inoculation for 60 d. With an increase in the severity of drought stress, the root colonization rate progressively declined and attained 53.52% under SD/+T treatment, which represented a reduction of 25.32% compared with that of CK/+T treatment  -REF-B. | NO
10691024 | Streptomyces | drought | Sorghum bicolor | While Streptomyces was enriched in drought-treated potato rhizosphere  -REF-, an inoculation assay of a strain of this genus to Sorghum bicolor reported its effective colonization of plant and root development under drought  -REF-. | NO
