6987256 | Pantoea alhagi | salt | rice | Therefore, we speculate that the ability of Pantoea alhagi NX-11 to enhance the salt tolerance of rice seedlings is related to the EPSs it produces. | YES
9690568 | Devosia | salt | canola | In this research two biostimulants; a type of plant secondary metabolite flavonoids and a microbe-based material CFS: Cell-Free Supernatant containing active compounds secreted by a novel bacterial strain isolated from Amphecarpaea bracteata root nodules Devosia sp - SL43, have been utilized to improve the growth and stress resistance of two major oil seed crops; canola and soybean, under optimal and salt stress conditions. | YES
9712829 | Bacillus oryzicola | salt | Arabidopsis | -REF- demonstrated a similar conclusion that the SOS pathway is necessary for Bacillus oryzicola YC7007-induced Arabidopsis tolerance to salt stress. | YES
10398642 | Pseudomonas argentinensis | drought | Arabidopsis | SA190 enhances drought tolerance of Arabidopsis and Medicago sativa Pseudomonas argentinensis strain SA190 is a plant endophytic bacterium that was previously isolated from root nodules of the desert plant I. argentea Lafi et al, -REF-. | YES
9608499 | Bacillus | Saline Conditions | wheat | Bacillus Strains Enhance Plant Growth under Saline Conditions In the current study plant growth and root morphological parameters were noticed to be significantly increased in wheat plant inoculated with bacteria under salt stress as shown in -REF- and -REF-. | YES
10534068 | Nocardioides | salinity | wheat | to enhance wheat growth in saline environments and the molecular mechanisms underlying Nocardioides sp.-mediated salinity tolerance in wheat. | YES
10623132 | Azospirillum brasilense | drought | Glycine max | When CKs zeatin riboside were exogenously applied, they restored the germination potential in Glycine max seeds -REF-; -REF-.The inoculation of Azospirillum brasilense in soybean mitigates drought stress by inducing the production of endogenous phytohormones, for example CKs. | YES
10512251 | Glomus versiforme | drought | Poncirus trifoliata | Glomus mosseae, Glomus versiforme, and Glomus diaphanum endophyte of Poncirus trifoliata also promote drought stress by increasing the peroxidase activity and can also improve the soil textures Wu et al., -REF-. | YES
11176432 | Bacillaceae | salt | Reaumuria | A schematic diagram summarizing the mechanisms by which Bacillaceae promotes the growth of Reaumuria soongorica seedlings and enhances resistance to salt stress is presented in -REF-. | YES
8001772 | Variovorax paradoxus | drought | tomato | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought -REF-, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato -REF-, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable -REF-. | YES
7933552 | Aspergillus | drought | perennial ryegrass | According to our results, we propose four important Aspergillus aculeatus-mediated mechanisms of perennial ryegrass response to drought and heat stress: 1 Aspergillus aculeatus can regulate hormone homeostasis, 2 reduced the damage to photosynthetic system of plants induced by drought and heat stress, 3 reduced oxidative damage of plants induced by drought and heat stress, 4 altered gene expression levels related to drought and heat stress. | YES
9608499 | Bacillus | salt | wheat | Moreover, few detailed studies related to salt stress reduction in wheat plants by halophilic Bacillus strains through regulation of salt-resistant genes MYB, DREB2, HKT1 and WRKY17 were reported in the literature -REF-, -REF-. | YES
7646561 | Paenibacillus polymyxa | drought | Acacia abyssinica | Among single inoculants, Pseudomonas fluorescens and Paenibacillus polymyxa showed the maximum Acacia abyssinica performance under drought conditions. | YES
10512251 | Glomus mosseae | drought | Poncirus trifoliata | Glomus mosseae, Glomus versiforme, and Glomus diaphanum endophyte of Poncirus trifoliata also promote drought stress by increasing the peroxidase activity and can also improve the soil textures Wu et al., -REF-. | YES
8082249 | Trichoderma asperellum | drought | sugarcane | Sulfur leaf concentration reduced in drought-stressed sugarcane plants, but Trichoderma asperellum inoculation increased the S acquisition by the plants, not differing from treatments without drought stress -REF-. | YES
8071382 | Rhizophagus intraradices | drought | onion | Rhizophagus intraradices colonization under varied drought stress intensities resulted in increased N and P levels in both onion and tomato plants, wherein the former host plant was able to survive due to less negative water potential. | YES
7155768 | Bacillus licheniformis | drought | maize | The present study was performed to understand the mechanisms of Bacillus licheniformis FMCH001 in inducing drought resilience in maize by studying growth, ecophysiology, and metabolic changes during progressive drought and recovery. | YES
10745732 | Pseudomonas plecoglossicida | water deficit | wheat | The observed increase in Chl concentration in wheat plants treated with Pseudomonas plecoglossicida 2,4-D was found to be correlated with a decrease in ABA concentration in plant shoots during water deficit -REF-. | YES
8869449 | Bacillus cereus | drought | Lycopersicon esculentum | In Lycopersicon esculentum tomato plants treated by a Bacillus cereus AR156 supernatant, an appreciable enhancement to drought stress was reported by Wang et al. | YES
10512251 | Glomus diaphanum | drought | Poncirus trifoliata | Glomus mosseae, Glomus versiforme, and Glomus diaphanum endophyte of Poncirus trifoliata also promote drought stress by increasing the peroxidase activity and can also improve the soil textures Wu et al., -REF-. | YES
9608499 | Bacillus | salt | wheat | The ABA level was noticed to be high in plants grown under saline conditions but wheat plants inoculated with halophilic strains were observed to have decreased ABA levels for the purpose of mitigating salinity stress that supports the previous findings of ABA level reduction in inoculated Bacillus strains plants facing salt stress -REF-. | YES
7933552 | Aspergillus aculeatus | heat | perennial ryegrass | According to our results, we propose four important Aspergillus aculeatus-mediated mechanisms of perennial ryegrass response to drought and heat stress: 1 Aspergillus aculeatus can regulate hormone homeostasis, 2 reduced the damage to photosynthetic system of plants induced by drought and heat stress, 3 reduced oxidative damage of plants induced by drought and heat stress, 4 altered gene expression levels related to drought and heat stress. | YES
8869449 | Trichoderma longibrachiatum | salt | wheat | -REF- demonstrated that the PGPF Trichoderma longibrachiatum strain T6 induced the tolerance of wheat seedlings to salt stress through upregulation of SOD, CAT and POX genes, improving the antioxidant defence machinery. | YES
